Source,Link
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Amin Investment Bank,/iranian-entities/amin-investment-bank
Amir Abbas Tamimi,/iranian-entities/amir-abbas-tamimi
Amir Al Mo’Menin Industries,/iranian-entities/amir-al-momenin-industries
Amir Ali Hajizadeh,/iranian-entities/amir-ali-hajizadeh
Amir Hosein Atabaki,/iranian-entities/amir-hosein-atabaki
Amir Hossein Ardebili,/iranian-entities/amir-hossein-ardebili
Amir Hossein Rahimyar,/iranian-entities/amir-hossein-rahimyar
Amir Kabir Petrochemical Company,/iranian-entities/amir-kabir-petrochemical-company
Amir Moayyed Alai,/iranian-entities/amir-moayyed-alai
Amir Rahimi,/iranian-entities/amir-rahimi
Amirhossein Sairafi,/iranian-entities/amirhossein-sairafi
Amirkabir University of Technology,/iranian-entities/amirkabir-university-technology
Amjad Sazgar,/iranian-entities/amjad-sazgar
Ammunition Industries Group (AMIG),/iranian-entities/ammunition-industries-group-amig
Ana Trading Company,/iranian-entities/ana-trading-company
Andisheh Vesal Middle East Company,/iranian-entities/andisheh-vesal-middle-east-company
Andisheh Zolal Co.,/iranian-entities/andisheh-zolal-co
Anis Naccache,/iranian-entities/anis-naccache
Ansar Bank,/iranian-entities/ansar-bank
Ansar Exchange,/iranian-entities/ansar-exchange
Arak Heavy Water Complex,/iranian-entities/arak-heavy-water-complex
Arak Petrochemical Company,/iranian-entities/arak-petrochemical-company
Aran Modern Devices,/iranian-entities/aran-modern-devices
Aras Farayande,/iranian-entities/aras-farayande
Ardakan Yellowcake Production Plant,/iranian-entities/ardakan-yellowcake-production-plant
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Aref Bali Lashak,/iranian-entities/aref-bali-lashak
Arfa Paint Company,/iranian-entities/arfa-paint-company
Arfeh Company,/iranian-entities/arfeh-company
Aria Nikan,/iranian-entities/aria-nikan
Arian Bank,/iranian-entities/arian-bank
"ARIASA, AG",/iranian-entities/ariasa-ag
Armament Industries Group (AIG),/iranian-entities/armament-industries-group-aig
Arman Imanirad,/iranian-entities/arman-imanirad
Armed Forces Geographical Organization,/iranian-entities/armed-forces-geographical-organization
Artin Sana'at Tabaan Company,/iranian-entities/artin-sanaat-tabaan-company
Arvandan Oil & Gas Company,/iranian-entities/arvandan-oil-gas-company
Arya Foreign Trade Corporation,/iranian-entities/arya-foreign-trade-corporation
Arya Niroo Nik,/iranian-entities/arya-niroo-nik
Aseman Pishraneh Engineering Services Company,/iranian-entities/aseman-pishraneh-engineering-services-company
Asghar Esma'ilpur,/iranian-entities/asghar-esmailpur
Ashtian Tablo,/iranian-entities/ashtian-tablo
Aspasis Marine Corporation,/iranian-entities/aspasis-marine-corporation
Assa Company Limited,/iranian-entities/assa-company-limited
Assa Corporation,/iranian-entities/assa-corporation
Associated Fadir Industries Factories (AFIF),/iranian-entities/associated-fadir-industries-factories-afif
Astan Quds Razavi,/iranian-entities/astan-quds-razavi
Atlantic Intermodal,/iranian-entities/atlantic-intermodal
Atomic Energy Organization of Iran (AEOI),/iranian-entities/atomic-energy-organization-iran-aeoi
Aviation University Complex (AUC),/iranian-entities/aviation-university-complex-auc
Ayatollah Ebrahimi,/iranian-entities/ayatollah-ebrahimi
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Azar Ab Industries Co.,/iranian-entities/azar-ab-industries-co
Azarakhsh Khodroo Khorasan Company,/iranian-entities/azarakhsh-khodroo-khorasan-company
Azim Aghajani,/iranian-entities/azim-aghajani
Azores Shipping Company ,/iranian-entities/azores-shipping-company
Babak Zanjani,/iranian-entities/babak-zanjani
Bagh Shian (Almehdi) Missile Industries,/iranian-entities/bagh-shian-almehdi-missile-industries
Baghyatollah Medical Sciences University,/iranian-entities/baghyatollah-medical-sciences-university
Baharestan Kish Company,/iranian-entities/baharestan-kish-company
Bahman Ghandi,/iranian-entities/bahman-ghandi
Bahman Reyhani,/iranian-entities/bahman-reyhani
Bahmanyar Morteza Bahmanyar,/iranian-entities/bahmanyar-morteza-bahmanyar
Bakeri Missile Industries Factory,/iranian-entities/bakeri-missile-industries-factory
Bakhtar Raad Sepahan,/iranian-entities/bakhtar-raad-sepahan
Bals Alman,/iranian-entities/bals-alman
"Banco Internacional de Desarollo, C.A.",/iranian-entities/banco-internacional-de-desarollo-ca
Bandaran Company,/iranian-entities/bandaran-company
Bani Hashem Doroud Industrial Complex,/iranian-entities/bani-hashem-doroud-industrial-complex
Bank Kargoshaee,/iranian-entities/bank-kargoshaee
Bank Mellat,/iranian-entities/bank-mellat
Bank Melli,/iranian-entities/bank-melli
Bank Melli Iran Investment Company,/iranian-entities/bank-melli-iran-investment-company
Bank Melli Printing and Publishing Co.,/iranian-entities/bank-melli-printing-and-publishing-co
Bank of Industry and Mine,/iranian-entities/bank-industry-and-mine
Bank Refah Kargaran,/iranian-entities/bank-refah-kargaran
Bank Saderat Iran,/iranian-entities/bank-saderat-iran
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Bank Sepah,/iranian-entities/bank-sepah
Bank Sepah International Plc,/iranian-entities/bank-sepah-international-plc
Bank Tejarat,/iranian-entities/bank-tejarat
"Baqeri Base Factory, No. 1",/iranian-entities/baqeri-base-factory-no-1
"Baqeri Base Factory, No. 2",/iranian-entities/baqeri-base-factory-no-2
"Baqeri Base Factory, No. 3",/iranian-entities/baqeri-base-factory-no-3
Baqerololum Missile Research Center,/iranian-entities/baqerololum-missile-research-center
Bargh Azaraksh,/iranian-entities/bargh-azaraksh
Barzagani Hava and Faza,/iranian-entities/barzagani-hava-and-faza
Barzagani Tejarat Tavanmad Saccal companies,/iranian-entities/barzagani-tejarat-tavanmad-saccal-companies
Basamad Azma Company,/iranian-entities/basamad-azma-company
Bashir Industrial Complex,/iranian-entities/bashir-industrial-complex
BASIR Remote Sensing Institute,/iranian-entities/basir-remote-sensing-institute
Beasat Industrial Co.,/iranian-entities/beasat-industrial-co
Behineh Trading Co,/iranian-entities/behineh-trading-co
Behman Asgarpour,/iranian-entities/behman-asgarpour
Behnam Sahriyari Trading Company,/iranian-entities/behnam-sahriyari-trading-company
Behnam Shahriyari,/iranian-entities/behnam-shahriyari
Behnaz Moazen,/iranian-entities/behnaz-moazen
Behzad Pourghannad,/iranian-entities/behzad-pourghannad
Behzad Soltani,/iranian-entities/behzad-soltani
Behzadkar Co. Ltd.,/iranian-entities/behzadkar-co-ltd
BMIIC International General Trading Ltd.,/iranian-entities/bmiic-international-general-trading-ltd
Bonab Atomic Energy Research Center,/iranian-entities/bonab-atomic-energy-research-center
Bonyad Mostazafan,/iranian-entities/bonyad-mostazafan
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Bonyad Taavon Sepah,/iranian-entities/bonyad-taavon-sepah
Borzouyeh Petrochemical Company,/iranian-entities/borzouyeh-petrochemical-company
Boweir Sanat Company,/iranian-entities/boweir-sanat-company
Brigadier General Hossein Salami,/iranian-entities/brigadier-general-hossein-salami
Brigadier General Mohammad Reza Zahedi,/iranian-entities/brigadier-general-mohammad-reza-zahedi
Brigadier-General Ahmad Vahidi,/iranian-entities/brigadier-general-ahmad-vahidi
Brigadier-General Ali Hoseynitash,/iranian-entities/brigadier-general-ali-hoseynitash
Brigadier-General Ali Shamshiri,/iranian-entities/brigadier-general-ali-shamshiri
Brigadier-General Beik Mohammadlu,/iranian-entities/brigadier-general-beik-mohammadlu
Brigadier-General Javad Darvish-Vand,/iranian-entities/brigadier-general-javad-darvish-vand
Brigadier-General Mohammad Naderi,/iranian-entities/brigadier-general-mohammad-naderi
Brigadier-General Mohammad Reza Naqdi,/iranian-entities/brigadier-general-mohammad-reza-naqdi
Brigadier-General Mostafa Mohammad Najjar,/iranian-entities/brigadier-general-mostafa-mohammad-najjar
Brigadier-General Seyyed Mahdi Farahi,/iranian-entities/brigadier-general-seyyed-mahdi-farahi
Bright Jyoti Shipping,/iranian-entities/bright-jyoti-shipping
Bright-Nord GmbH und Co. KG,/iranian-entities/bright-nord-gmbh-und-co-kg
Bu Ali Group,/iranian-entities/bu-ali-group
Bu-Ali Sina University,/iranian-entities/bu-ali-sina-university
Bushehr Nuclear Power Plant,/iranian-entities/bushehr-nuclear-power-plant
Captain Alireza Ghezelayagh,/iranian-entities/captain-alireza-ghezelayagh
Carvana Company,/iranian-entities/carvana-company
Caspian Tamin Pharmaceutical Company,/iranian-entities/caspian-tamin-pharmaceutical-company
Cement Investment and Development Company,/iranian-entities/cement-investment-and-development-company
Center for Research and Educational Services (CRES),/iranian-entities/center-research-and-educational-services-cres
Charkheshgar,/iranian-entities/charkheshgar
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Chemical Industries & Development of Material Group,/iranian-entities/chemical-industries-development-material-group
Chemical Research and Development Company (CRDC),/iranian-entities/chemical-research-and-development-company-crdc
CISCO Shipping Co. Ltd.,/iranian-entities/cisco-shipping-co-ltd
Control Gostar Jahed,/iranian-entities/control-gostar-jahed
Cooperative Foundation of the Defense Ministry,/iranian-entities/cooperative-foundation-defense-ministry
Crystal Shipping,/iranian-entities/crystal-shipping
Cylinder System L.T.D.,/iranian-entities/cylinder-system-ltd
Daghigh Farayand Control Company,/iranian-entities/daghigh-farayand-control-company
Daghigh Rizan Paya Hadid,/iranian-entities/daghigh-rizan-paya-hadid
Damalis Marine Corporation,/iranian-entities/damalis-marine-corporation
Danesh Azmoon Teb Company,/iranian-entities/danesh-azmoon-teb-company
Davar Moharek Co.,/iranian-entities/davar-moharek-co
Davoud Babaei,/iranian-entities/davoud-babaei
Dawood Agha-Jani,/iranian-entities/dawood-agha-jani
Day Bank,/iranian-entities/day-bank
Deep Offshore Technology Company PJS,/iranian-entities/deep-offshore-technology-company-pjs
Defence Industries Training and Research Institute,/iranian-entities/defence-industries-training-and-research-institute
Defense Industries Organization (DIO),/iranian-entities/defense-industries-organization-dio
Defense Technology and Science Research Center (DTSRC),/iranian-entities/defense-technology-and-science-research-center-dtsrc
"Design, Engineering and Manufacturing Company",/iranian-entities/design-engineering-and-manufacturing-company
DFS Worldwide,/iranian-entities/dfs-worldwide
Diamond Shipping Services ,/iranian-entities/diamond-shipping-services
Digital Media Lab,/iranian-entities/digital-media-lab
Doostan International Company,/iranian-entities/doostan-international-company
Dr. Drush Jamshidnezhad,/iranian-entities/dr-drush-jamshidnezhad
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
E-Sail Shipping Company,/iranian-entities/e-sail-shipping-company
East Star Company,/iranian-entities/east-star-company
Ebrahim Mahmudzadeh,/iranian-entities/ebrahim-mahmudzadeh
Ebtekar Sanat Ilya LLC,/iranian-entities/ebtekar-sanat-ilya-llc
EDBI Exchange Company,/iranian-entities/edbi-exchange-company
EDBI Stock Brokerage Company,/iranian-entities/edbi-stock-brokerage-company
Ehsan Monajemi,/iranian-entities/ehsan-monajemi
Elbrus Ltd,/iranian-entities/elbrus-ltd
Electro Sanam Company,/iranian-entities/electro-sanam-company
Electro-Optics Division,/iranian-entities/electro-optics-division
Electronic Equipment Company,/iranian-entities/electronic-equipment-company
Electronics Components Industries,/iranian-entities/electronics-components-industries
EMKA Company,/iranian-entities/emka-company
Energy Global International FZE,/iranian-entities/energy-global-international-fze
Energy Systems Planners,/iranian-entities/energy-systems-planners
Engineer Naser Rastkhah,/iranian-entities/engineer-naser-rastkhah
Ertebat Gostar Novin,/iranian-entities/ertebat-gostar-novin
Ervin Danesh Aryan Company,/iranian-entities/ervin-danesh-aryan-company
Esfahan Nuclear Technology Center,/iranian-entities/esfahan-nuclear-technology-center
Esfahan Steel Company,/iranian-entities/esfahan-steel-company
Eshteal Energy Engineering Company,/iranian-entities/eshteal-energy-engineering-company
Esmaiil Gharekhani,/iranian-entities/esmaiil-gharekhani
Esmail Ghani,/iranian-entities/esmail-ghani
ESNICO,/iranian-entities/esnico
Etemad Amin Invest Co Mobin,/iranian-entities/etemad-amin-invest-co-mobin
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Etemad Tejarate Pars Co.,/iranian-entities/etemad-tejarate-pars-co
Etka Organization,/iranian-entities/etka-organization
Ettehad Technical Group,/iranian-entities/ettehad-technical-group
Europaisch-Iranische Handelsbank AG,/iranian-entities/europaisch-iranische-handelsbank-ag
Everex,/iranian-entities/everex
Export Development Bank of Iran,/iranian-entities/export-development-bank-iran
Eyvaz Technic,/iranian-entities/eyvaz-technic
Fajr Aviation Composite Industries,/iranian-entities/fajr-aviation-composite-industries
Fajr Industrial Group,/iranian-entities/fajr-industrial-group
Fajr Petrochemical,/iranian-entities/fajr-petrochemical
Fam Gostar Mahan Co.,/iranian-entities/fam-gostar-mahan-co
Fan Pardazan Co,/iranian-entities/fan-pardazan-co
Fanavari Moj Khavar,/iranian-entities/fanavari-moj-khavar
Faranir,/iranian-entities/faranir
Farasakht Industries,/iranian-entities/farasakht-industries
Farasepehr Engineering Company,/iranian-entities/farasepehr-engineering-company
Faratech Company,/iranian-entities/faratech-company
Farayand Technique,/iranian-entities/farayand-technique
Farhad Ali Parvaresh,/iranian-entities/farhad-ali-parvaresh
Farhad Bujar,/iranian-entities/farhad-bujar
Farhad Masoumian,/iranian-entities/farhad-masoumian
Fars Chemical Industries Company,/iranian-entities/fars-chemical-industries-company
Fars Resin Manufacturing Company,/iranian-entities/fars-resin-manufacturing-company
Fars Rig Co. Ltd.,/iranian-entities/fars-rig-co-ltd
Farsachimie Company,/iranian-entities/farsachimie-company
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Farshad Hakemzadeh,/iranian-entities/farshad-hakemzadeh
Fartash Sanat Pars Co.,/iranian-entities/fartash-sanat-pars-co
Farzanegan Propulsion Systems Design Bureau,/iranian-entities/farzanegan-propulsion-systems-design-bureau
Farzin Faridmanesh,/iranian-entities/farzin-faridmanesh
Fater Engineering Institute,/iranian-entities/fater-engineering-institute
Fath Vehicle Industries,/iranian-entities/fath-vehicle-industries
Ferdowsi University of Mashhad,/iranian-entities/ferdowsi-university-mashhad
Fereidoun Abbasi-Davani,/iranian-entities/fereidoun-abbasi-davani
Fereydoun Mahmoudian,/iranian-entities/fereydoun-mahmoudian
FHM Electronics Co.,/iranian-entities/fhm-electronics-co
First Islamic Investment Bank ,/iranian-entities/first-islamic-investment-bank
First Persian Equity Fund,/iranian-entities/first-persian-equity-fund
Fordow Fuel Enrichment Plant ,/iranian-entities/fordow-fuel-enrichment-plant
Fuel Fabrication Laboratory (FFL),/iranian-entities/fuel-fabrication-laboratory-ffl
Fuel Manufacturing Plant,/iranian-entities/fuel-manufacturing-plant
Fuel Plate Fabrication Plant (FPFP),/iranian-entities/fuel-plate-fabrication-plant-fpfp
Fulmen Company,/iranian-entities/fulmen-company
Fulmen Group,/iranian-entities/fulmen-group
Future Bank,/iranian-entities/future-bank
Galliot Maritime Inc.,/iranian-entities/galliot-maritime-inc
Gchine Uranium Mine,/iranian-entities/gchine-uranium-mine
Ghaed Bassir Petrochemical Company,/iranian-entities/ghaed-bassir-petrochemical-company
Gharargahe Sazandegi Ghaem,/iranian-entities/gharargahe-sazandegi-ghaem
Ghasem Nabipour,/iranian-entities/ghasem-nabipour
Ghasem Soleymani,/iranian-entities/ghasem-soleymani
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Ghodrat Zargari,/iranian-entities/ghodrat-zargari
Gholam Reza Eta'ati,/iranian-entities/gholam-reza-etaati
Gholamhossein Golparvar,/iranian-entities/gholamhossein-golparvar
Ghorb Karbala,/iranian-entities/ghorb-karbala
Ghorb Nooh,/iranian-entities/ghorb-nooh
GIEC,/iranian-entities/giec
Global Sea Line Company Ltd.,/iranian-entities/global-sea-line-company-ltd
"Golden Resources Trading Company, L.L.C.",/iranian-entities/golden-resources-trading-company-llc
Good Luck Shipping Company,/iranian-entities/good-luck-shipping-company
Green Industries Hong Kong Limited,/iranian-entities/green-industries-hong-kong-limited
Guide Oil Equipment Company,/iranian-entities/guide-oil-equipment-company
Hadi Dehghan,/iranian-entities/hadi-dehghan
Hadid Industries Company,/iranian-entities/hadid-industries-company
Hafiz Darya Shipping Company,/iranian-entities/hafiz-darya-shipping-company
Haleh Bakhtiar,/iranian-entities/haleh-bakhtiar
Hamed Dehghan,/iranian-entities/hamed-dehghan
Hamid Reza Hashemi,/iranian-entities/hamid-reza-hashemi
Hamid Reza Rabiee,/iranian-entities/hamid-reza-rabiee
Hamid Soltani,/iranian-entities/hamid-soltani
Hamid-Reza Mohajerani,/iranian-entities/hamid-reza-mohajerani
Hanseatic Trade Trust and Shipping (HTTS) GmbH,/iranian-entities/hanseatic-trade-trust-shipping-htts-gmbh
Hara Company,/iranian-entities/hara-company
Hassan Jalil Zadeh,/iranian-entities/hassan-jalil-zadeh
Hasteh Sarayand,/iranian-entities/hasteh-sarayand
HB Composites,/iranian-entities/hb-composites
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Heavy Foundry and Forging Project,/iranian-entities/heavy-foundry-and-forging-project
Heavy Metal Industries,/iranian-entities/heavy-metal-industries
Heidar Karar Research Group,/iranian-entities/heidar-karar-research-group
Helal Co.,/iranian-entities/helal-co
Hirbod Co,/iranian-entities/hirbod-co
Hoda Trading,/iranian-entities/hoda-trading
Hojatoleslam Ali Saidi,/iranian-entities/hojatoleslam-ali-saidi
Hong Kong Electronics,/iranian-entities/hong-kong-electronics
Hoseyn Faqihian,/iranian-entities/hoseyn-faqihian
Hossein Ali Khoshnevisrad,/iranian-entities/hossein-ali-khoshnevisrad
Hossein Nosratollah Vaziri,/iranian-entities/hossein-nosratollah-vaziri
Hossein Pourfarzaneh,/iranian-entities/hossein-pourfarzaneh
Hossein Tanideh,/iranian-entities/hossein-tanideh
Hosseini Nejad Trading Co.,/iranian-entities/hosseini-nejad-trading-co
Houshang Nobari,/iranian-entities/houshang-nobari
Ibn-e Heysam Research and Laboratory Complex,/iranian-entities/ibn-e-heysam-research-and-laboratory-complex
Ideal Success Investments Limited,/iranian-entities/ideal-success-investments-limited
Imam Hussein University (IHU),/iranian-entities/imam-hussein-university-ihu
Imensazen Consultant Engineers Institute,/iranian-entities/imensazen-consultant-engineers-institute
Indus Maritime Inc.,/iranian-entities/indus-maritime-inc
Industrial Automation Group,/iranian-entities/industrial-automation-group
Industrial Development and Renovation Organization of Iran (IDRO),/iranian-entities/industrial-development-and-renovation-organization-iran-idro
Industrial Development Group,/iranian-entities/industrial-development-group
