,Supplier,best_match,Similarity Ratio
321,Zibo Chemical Equipment Plant (ZCEP),,0
320,Zibo Chemet Equipment Corporation Ltd.,,0
319,Zhu Yuequn,,0
318,Zhejiang Ouhai International Trade Corporation,,0
317,"Zhejiang Bainianyin Industry & Trade Co., Ltd",,0
316,Zaporizhzhya Regional Foreign Economic Association,,0
315,Zamanoil DMCC,,0
314,Yutron Technology Co. Ltd.,,0
313,Yousef Boushvash,,0
312,Yi-Lan Chen,,0
311,Xianhua Qin,,0
310,Wuhan Star Trading Co. Ltd.,,0
190,"Mercator, Inc.",,0
188,ROV Solutions,,0
1,Abbas Haider,,0
59,China Aerospace Science and Technology Corporation (CASC),,0
68,China Precision Engineering Institute for Aircraft Industry (CPEI),,0
67,China Nuclear Energy Industry Corporation (CNEIC),,0
66,China North Industries Corporation (NORINCO),,0
65,China North Chemical Industries Corporation (NOCINCO),,0
64,China National Non-metallic Minerals Industry Corporation (Group) (CNMC),,0
63,China National Non-metallic Minerals Industrial Import and Export Corporation (CNMIEC),,0
62,China National Electronics Import-Export Corporation (CEIEC),,0
61,China National Aero-Technology Import-Export Corporation (CATIC),,0
60,China Great Wall Industry Corporation (CGWIC),,0
58,China Academy of Aerospace Aerodynamics,,0
70,China Shipbuilding Trading Company (CSTC),,0
57,Chernyshev Moscow Machine Building Enterprise,,0
56,Cheong Yee Limited,,0
55,Chengdu Best New Materials Co. Ltd.,,0
54,Chen Qingchang (Chinese citizen),,0
53,ROV Solutions,,0
52,Beijing MicroPilot UAV Flight Control Systems,,0
51,Chen Mingfu,,0
50,Changgwang Sinyong Corporation,,0
49,Chae Hyok Mu,,0
69,China Precision Machinery Import-Export Corporation (CPMIEC),,0
71,Cho Myong Ho,,0
187,Beijing MicroPilot UAV Flight Control Systems,,0
83,Daniel Frosch,,0
92,Eddie Johansson,,0
91,Eco Biochem Sdn Bhd,,0
90,Dr. Y. S. R. Prasad,,0
89,Dr. C. Surendar,,0
88,Djamshid Nezhad,,0
87,"DES International Co., Ltd.",,0
86,Davoud Baniameri,,0
85,David Levick,,0
84,David Chu,,0
82,D. V. Efremov Scientific Research Institute of Electrophysical Apparatus,,0
72,Choe Pyong Wan,,0
81,D. I. Mendeleyev University of Chemical Technology (MUCT),,0
80,ROV Solutions,,0
79,Beijing MicroPilot UAV Flight Control Systems,,0
78,Cuanta SA,,0
77,Cryostar-France SA,,0
76,Cosailing Business Trading Company Limited,,0
75,Concepto Screen SAL Off-Shore,,0
74,Computer & Communicatii SRL,,0
73,Choe Song Hyok,,0
48,Central Aerohydrodynamic Institute (TsAGI),,0
47,Carol Zhou,,0
46,Candid General Trading LLC,,0
12,Alex Ramzi,,0
21,Atlinx Electronics,,0
20,"Anhui Land Group Co., Limited",,0
19,Andro Telemi,,0
18,"Andrew A. Adams, Equipment and Supply International",,0
17,ANA Training Ltd.,,0
16,Amir Ghasemi,,0
15,"Allied Telesis Labs, Inc.",,0
14,Alireza Moazami Goudarzi,,0
13,Ali Akbar Yahya,,0
11,Al-Faris,,0
45,Cagri Duransoy,,0
10,Al Ras Gate General Trading,,0
9,Aizaz Jaffery,,0
8,Air Rig Inc.,,0
7,African Amines (Pty) Limited,,0
6,Aerospace Logistics Services,,0
5,ACTeam Logistics Ltd.,,0
4,Ace Hub System SDN BHD,,0
3,Abdullah Poor Nagar,,0
2,Abdul Qadeer Khan,,0
22,"Atomenergoproekt State Planning and Design, Research and Survey Institute",,0
23,Atomstroyexport (ASE),,0
24,Aviation Services International B.V.,,0
25,Beijing MicroPilot UAV Flight Control Systems,,0
44,Bukovyna Airlines,,0
43,Buehler Limited,,0
42,"Bochuang Ceramic, Inc.",,0
41,Blagoja Samakoski,,0
40,Bharat Electronics Ltd. (BEL),,0
39,Bestway Line FZCO,,0
38,Belvneshpromservice,,0
37,Bellamax (China),,0
36,"Belfast General Trading, LLC",,0
35,Beijing Research Institute of Uranium Geology (BRIUG),,0
34,Beijing MicroPilot UAV Flight Control Systems,,0
33,Beijing Institute of Opto-Electronic Technology (BIOET),,0
32,Beijing Institute of Geology Airborne Measurement and Remote Sensing Research Center,,0
31,Beijing Alite Technologies Company,,0
30,Baltic State Technical University,,0
29,Baktash Fattahi,,0
28,Avtomatika Zavod (CKBA),,0
27,"Avin Electronics Technology Co., Ltd.",,0
26,ROV Solutions,,0
93,Electrogorsk Research and Engineering Center on Nuclear Power Plants Safety,,0
94,Elektrosila,,0
95,Elmstone Service and Trading FZE (LLC),,0
154,Jungda International Pte. Ltd,,0
163,Kim Won Il,,0
162,Kim Ho Chol,,0
161,ROV Solutions,,0
160,Beijing MicroPilot UAV Flight Control Systems,,0
159,Kim Chang Rok,,0
158,Khazra Trading,,0
157,Khaled Al Taher,,0
156,KBP Instrument Design Bureau,,0
155,Kaam Chee Mun,,0
153,Joint Stock Company Leningradsky Metallichesky Zavod (LMZ),,0
142,Integrated Scientific Microwave Technology,,0
152,Joint Stock Company Atommash,,0
151,Jirair Avanessian,,0
150,Jilani Humayun,,0
149,Jiangsu Yongli Chemical Engineering and Technology Import-Export Corporation,,0
148,"Jetpower Industrial, Ltd.",,0
147,Jamshid Ghassemi,,0
146,Jami S. Choudhury,,0
145,James Larrison,,0
144,Jabal Damavand General Trading Company,,0
164,Korea Mining Development Trading Corporation (KOMID),,0
165,Kunlin Hsieh,,0
166,Landstar Tech Company Ltd.,,0
167,Laura Wang-Woodford,,0
186,Mehmet Yari,,0
185,MCES,,0
184,Mayrow General Trading,,0
183,Marzoghi Ltd.,,0
182,Majidco Micro Electronics,,0
181,Majid Seif,,0
180,Majid Kakavand,,0
179,Mahmoud Yadegari,,0
178,Mahmoud Seif,,0
177,Macpar Makina San Ve Tic A.S.,,0
176,Mac Aviation Group,,0
175,Mabrooka Trading Co L.L.C.,,0
174,MAAA Synergy,,0
173,Ma Chol Won,,0
172,Lizen Open Joint Stock Company,,0
171,Liyang Chemical Equipment Company,,0
170,LIMMT Metallurgy and Minerals Company Ltd.,,0
169,Liao Minglong (Chinese citizen),,0
168,Li Fang Wei,,0
143,Izhora Plant Joint-Stock Company,,0
141,Institute of Reactor Materials (IRM),,0
96,Emily Liu,,0
107,ROV Solutions,,0
116,Ghobad Ghasempour,,0
115,Gensis Engineering,,0
114,GBC Scientific Equipment Pty Ltd.,,0
113,G. K. Shkinov,,0
112,Fulya Kalafatoglu Oguzturk,,0
111,Firstfield Engineering,,0
110,"First East Export Bank, P.L.C.",,0
109,Feroz Khan,,0
108,Farshid Gillardian,,0
106,Beijing MicroPilot UAV Flight Control Systems,,0
140,Institute of Industrial Control Systems (IICS),,0
105,Farrokh Nia Yaghmaei,,0
104,Fairway Shipping Limited,,0
103,Experimental Design Bureau Hydropress,,0
102,Evertop Services Sdn Bhd,,0
101,Eva-Marie Hack,,0
100,Europalace 2000,,0
99,Eslem Global Pazarlama Sanayi ve Ticaret,,0
98,"Eren Carbon Graphite Industrial Trading Company, Ltd.",,0
97,En-Wei Eric Chang,,0
117,Glavkosmos,,0
118,Goktan Gokdag,,0
119,Goodly Industrial Company Ltd.,,0
120,Gotthard Lerch,,0
139,Inor,,0
138,Industrial Scientific Corporation (ISC),,0
137,In-Tech Company,,0
136,Hyper Systems Union Limited,,0
135,Hossein Pournaghshband,,0
134,ROV Solutions,,0
133,Beijing MicroPilot UAV Flight Control Systems,,0
132,Hong Kong Cheung Wah Electronics Technology Company Limited,,0
131,Hong Hak Chol,,0
130,"Henan Jiayuan Aluminum Industry Co., Ltd",,0
129,"Heli-World Aviation, Ltd.",,0
128,"Heli-Ocean Technology Co., Ltd.",,0
127,Hassan Saied Keshari,,0
126,Harold Hemming,,0
125,Hamid Reza Kargar,,0
124,Halkbank,,0
123,Ha Chong Kuk,,0
122,"Green Wave Telecommunication, Sdn Bhn",,0
121,Great Wall Airlines,,0
376,ROV Solutions,,0
